"model_key","model_label","profile_id","effect","feature","high","low","ATE"
"gemini","Gemini",6,"ethnicity_german_minus_turkish","num_nouns",109.8,103.65,6.14999999999999
"gemini","Gemini",6,"ethnicity_german_minus_turkish","num_verbs",16.35,15.8,0.550000000000001
"gemini","Gemini",6,"ethnicity_german_minus_turkish","num_adjectives",29.05,27.6,1.45
"gemini","Gemini",6,"ethnicity_german_minus_turkish","num_adverbs",10.05,10.75,-0.699999999999999
"gemini","Gemini",6,"ethnicity_german_minus_turkish","num_pronouns",10.55,10.4,0.15
"gemini","Gemini",6,"ethnicity_german_minus_turkish","num_numerals",4.95,3.35,1.6
"gemini","Gemini",6,"ethnicity_german_minus_turkish","cv_total_words",303.6,289.2,14.4
"gemini","Gemini",6,"ethnicity_german_minus_turkish","k01_persoenliche_daten_num_words",10.5,11.65,-1.15
"gemini","Gemini",6,"ethnicity_german_minus_turkish","k02_profil_num_words",57.55,60.25,-2.7
"gemini","Gemini",6,"ethnicity_german_minus_turkish","k03_faehigkeiten_num_words",15.3,14.6,0.700000000000001
"gemini","Gemini",6,"ethnicity_german_minus_turkish","k04_berufserfahrung_num_words",55.1,45,10.1
"gemini","Gemini",6,"ethnicity_german_minus_turkish","k05_ausbildung_num_words",15.1,11.25,3.85
"gemini","Gemini",6,"ethnicity_german_minus_turkish","k06_skills_num_words",17.85,19.5,-1.65
"gemini","Gemini",6,"ethnicity_german_minus_turkish","k07_sprachen_num_words",7.3,7.3,0
"gemini","Gemini",6,"ethnicity_german_minus_turkish","k08_interessen_num_words",8.15,8.1,0.0500000000000007
"gemini","Gemini",6,"ethnicity_german_minus_turkish","k09_angestrebte_position_num_words",36.55,35.4,1.15
"gemini","Gemini",6,"ethnicity_german_minus_turkish","k10_cover_letter_snippet_num_words",80.2,76.15,4.05
"gemini","Gemini",6,"ethnicity_german_minus_turkish","agentic_count",9.35,8.45,0.9
"gemini","Gemini",6,"ethnicity_german_minus_turkish","communal_count",10.45,11.85,-1.4
"gemini","Gemini",6,"ethnicity_german_minus_turkish","certainty_count",11.25,11.2,0.0500000000000007
"gemini","Gemini",6,"ethnicity_german_minus_turkish","tentative_count",6.85,5.95,0.9
"gemini","Gemini",176,"ethnicity_german_minus_turkish","num_nouns",179.75,189.65,-9.90000000000001
"gemini","Gemini",176,"ethnicity_german_minus_turkish","num_verbs",18.15,17.25,0.899999999999999
"gemini","Gemini",176,"ethnicity_german_minus_turkish","num_adjectives",45.9,47.25,-1.35
"gemini","Gemini",176,"ethnicity_german_minus_turkish","num_adverbs",17.8,19.3,-1.5
"gemini","Gemini",176,"ethnicity_german_minus_turkish","num_pronouns",9.85,9.85,0
"gemini","Gemini",176,"ethnicity_german_minus_turkish","num_numerals",10.55,9.85,0.700000000000001
"gemini","Gemini",176,"ethnicity_german_minus_turkish","cv_total_words",461.8,481.95,-20.15
"gemini","Gemini",176,"ethnicity_german_minus_turkish","k01_persoenliche_daten_num_words",12.75,12.15,0.6
"gemini","Gemini",176,"ethnicity_german_minus_turkish","k02_profil_num_words",64.05,68.45,-4.40000000000001
"gemini","Gemini",176,"ethnicity_german_minus_turkish","k03_faehigkeiten_num_words",58.45,64.8,-6.34999999999999
"gemini","Gemini",176,"ethnicity_german_minus_turkish","k04_berufserfahrung_num_words",89.95,93,-3.05
"gemini","Gemini",176,"ethnicity_german_minus_turkish","k05_ausbildung_num_words",29,29.15,-0.149999999999999
"gemini","Gemini",176,"ethnicity_german_minus_turkish","k06_skills_num_words",37.8,37.5,0.299999999999997
"gemini","Gemini",176,"ethnicity_german_minus_turkish","k07_sprachen_num_words",27.4,27.15,0.25
"gemini","Gemini",176,"ethnicity_german_minus_turkish","k08_interessen_num_words",12.8,13.65,-0.85
"gemini","Gemini",176,"ethnicity_german_minus_turkish","k09_angestrebte_position_num_words",44.15,44.05,0.100000000000001
"gemini","Gemini",176,"ethnicity_german_minus_turkish","k10_cover_letter_snippet_num_words",85.45,92.05,-6.59999999999999
"gemini","Gemini",176,"ethnicity_german_minus_turkish","agentic_count",4.9,5.05,-0.149999999999999
"gemini","Gemini",176,"ethnicity_german_minus_turkish","communal_count",11.9,12.45,-0.549999999999999
"gemini","Gemini",176,"ethnicity_german_minus_turkish","certainty_count",11.85,12.75,-0.9
"gemini","Gemini",176,"ethnicity_german_minus_turkish","tentative_count",6.2,7.4,-1.2
"gemini","Gemini",201,"ethnicity_german_minus_turkish","num_nouns",155.95,162.8,-6.85000000000002
"gemini","Gemini",201,"ethnicity_german_minus_turkish","num_verbs",17.15,16.55,0.599999999999998
"gemini","Gemini",201,"ethnicity_german_minus_turkish","num_adjectives",38.55,41,-2.45
"gemini","Gemini",201,"ethnicity_german_minus_turkish","num_adverbs",16.7,18.75,-2.05
"gemini","Gemini",201,"ethnicity_german_minus_turkish","num_pronouns",10.85,10.65,0.199999999999999
"gemini","Gemini",201,"ethnicity_german_minus_turkish","num_numerals",11.15,11.2,-0.0499999999999989
"gemini","Gemini",201,"ethnicity_german_minus_turkish","cv_total_words",392.15,407.3,-15.15
"gemini","Gemini",201,"ethnicity_german_minus_turkish","k01_persoenliche_daten_num_words",11.55,10.2,1.35
"gemini","Gemini",201,"ethnicity_german_minus_turkish","k02_profil_num_words",60.75,61.75,-1
"gemini","Gemini",201,"ethnicity_german_minus_turkish","k03_faehigkeiten_num_words",28.35,25.25,3.1
"gemini","Gemini",201,"ethnicity_german_minus_turkish","k04_berufserfahrung_num_words",90.4,90.9,-0.5
"gemini","Gemini",201,"ethnicity_german_minus_turkish","k05_ausbildung_num_words",23.05,22.5,0.550000000000001
"gemini","Gemini",201,"ethnicity_german_minus_turkish","k06_skills_num_words",33.6,29.45,4.15
"gemini","Gemini",201,"ethnicity_german_minus_turkish","k07_sprachen_num_words",7.7,7.3,0.4
"gemini","Gemini",201,"ethnicity_german_minus_turkish","k08_interessen_num_words",10.2,10.05,0.149999999999999
"gemini","Gemini",201,"ethnicity_german_minus_turkish","k09_angestrebte_position_num_words",49.5,44.75,4.75
"gemini","Gemini",201,"ethnicity_german_minus_turkish","k10_cover_letter_snippet_num_words",77.05,73.35,3.7
"gemini","Gemini",201,"ethnicity_german_minus_turkish","agentic_count",6.7,7.2,-0.5
"gemini","Gemini",201,"ethnicity_german_minus_turkish","communal_count",14.8,14.5,0.300000000000001
"gemini","Gemini",201,"ethnicity_german_minus_turkish","certainty_count",9.05,10.4,-1.35
"gemini","Gemini",201,"ethnicity_german_minus_turkish","tentative_count",6,5.95,0.0499999999999998
"gemini","Gemini",221,"ethnicity_german_minus_turkish","num_nouns",151.6,149.95,1.65000000000001
"gemini","Gemini",221,"ethnicity_german_minus_turkish","num_verbs",14.05,15.1,-1.05
"gemini","Gemini",221,"ethnicity_german_minus_turkish","num_adjectives",44.2,43.15,1.05
"gemini","Gemini",221,"ethnicity_german_minus_turkish","num_adverbs",10.35,12.85,-2.5
"gemini","Gemini",221,"ethnicity_german_minus_turkish","num_pronouns",6.8,7.85,-1.05
"gemini","Gemini",221,"ethnicity_german_minus_turkish","num_numerals",11,9.95,1.05
"gemini","Gemini",221,"ethnicity_german_minus_turkish","cv_total_words",391.35,392.9,-1.54999999999995
"gemini","Gemini",221,"ethnicity_german_minus_turkish","k01_persoenliche_daten_num_words",10.15,10.9,-0.75
"gemini","Gemini",221,"ethnicity_german_minus_turkish","k02_profil_num_words",58.95,63.15,-4.2
"gemini","Gemini",221,"ethnicity_german_minus_turkish","k03_faehigkeiten_num_words",32.9,25.8,7.1
"gemini","Gemini",221,"ethnicity_german_minus_turkish","k04_berufserfahrung_num_words",106.45,110.85,-4.39999999999999
"gemini","Gemini",221,"ethnicity_german_minus_turkish","k05_ausbildung_num_words",12.5,12.25,0.25
"gemini","Gemini",221,"ethnicity_german_minus_turkish","k06_skills_num_words",34.5,33.35,1.15
"gemini","Gemini",221,"ethnicity_german_minus_turkish","k07_sprachen_num_words",7.55,7,0.55
"gemini","Gemini",221,"ethnicity_german_minus_turkish","k08_interessen_num_words",9.45,10.2,-0.75
"gemini","Gemini",221,"ethnicity_german_minus_turkish","k09_angestrebte_position_num_words",41.9,42.05,-0.149999999999999
"gemini","Gemini",221,"ethnicity_german_minus_turkish","k10_cover_letter_snippet_num_words",77,77.35,-0.349999999999994
"gemini","Gemini",221,"ethnicity_german_minus_turkish","agentic_count",10.8,9.45,1.35
"gemini","Gemini",221,"ethnicity_german_minus_turkish","communal_count",9.45,8.2,1.25
"gemini","Gemini",221,"ethnicity_german_minus_turkish","certainty_count",8.65,8.55,0.0999999999999996
"gemini","Gemini",221,"ethnicity_german_minus_turkish","tentative_count",5,4.7,0.3
"gemini","Gemini",307,"ethnicity_german_minus_turkish","num_nouns",144.75,148.05,-3.30000000000001
"gemini","Gemini",307,"ethnicity_german_minus_turkish","num_verbs",17.85,16.75,1.1
"gemini","Gemini",307,"ethnicity_german_minus_turkish","num_adjectives",33.9,35,-1.1
"gemini","Gemini",307,"ethnicity_german_minus_turkish","num_adverbs",19.2,17.55,1.65
"gemini","Gemini",307,"ethnicity_german_minus_turkish","num_pronouns",10.65,9.7,0.950000000000001
"gemini","Gemini",307,"ethnicity_german_minus_turkish","num_numerals",10.2,10,0.199999999999999
"gemini","Gemini",307,"ethnicity_german_minus_turkish","cv_total_words",387.1,390.1,-3
"gemini","Gemini",307,"ethnicity_german_minus_turkish","k01_persoenliche_daten_num_words",11.3,9.45,1.85
"gemini","Gemini",307,"ethnicity_german_minus_turkish","k02_profil_num_words",66.1,62.65,3.45
"gemini","Gemini",307,"ethnicity_german_minus_turkish","k03_faehigkeiten_num_words",23.95,21.7,2.25
"gemini","Gemini",307,"ethnicity_german_minus_turkish","k04_berufserfahrung_num_words",103.95,104.55,-0.599999999999994
"gemini","Gemini",307,"ethnicity_german_minus_turkish","k05_ausbildung_num_words",12.4,12.45,-0.0499999999999989
"gemini","Gemini",307,"ethnicity_german_minus_turkish","k06_skills_num_words",34.45,37.85,-3.4
"gemini","Gemini",307,"ethnicity_german_minus_turkish","k07_sprachen_num_words",11.55,11.65,-0.0999999999999996
"gemini","Gemini",307,"ethnicity_german_minus_turkish","k08_interessen_num_words",9.1,9.2,-0.0999999999999996
"gemini","Gemini",307,"ethnicity_german_minus_turkish","k09_angestrebte_position_num_words",41.45,42.95,-1.5
"gemini","Gemini",307,"ethnicity_german_minus_turkish","k10_cover_letter_snippet_num_words",72.85,77.65,-4.80000000000001
"gemini","Gemini",307,"ethnicity_german_minus_turkish","agentic_count",11.4,11.5,-0.0999999999999996
"gemini","Gemini",307,"ethnicity_german_minus_turkish","communal_count",8.4,8.6,-0.199999999999999
"gemini","Gemini",307,"ethnicity_german_minus_turkish","certainty_count",10.2,12.1,-1.9
"gemini","Gemini",307,"ethnicity_german_minus_turkish","tentative_count",6.6,7,-0.4
"gemini","Gemini",377,"ethnicity_german_minus_turkish","num_nouns",184.15,193.7,-9.54999999999998
"gemini","Gemini",377,"ethnicity_german_minus_turkish","num_verbs",15.75,15.7,0.0500000000000007
"gemini","Gemini",377,"ethnicity_german_minus_turkish","num_adjectives",43.65,47.3,-3.65
"gemini","Gemini",377,"ethnicity_german_minus_turkish","num_adverbs",18.2,17.6,0.599999999999998
"gemini","Gemini",377,"ethnicity_german_minus_turkish","num_pronouns",9.4,8.4,1
"gemini","Gemini",377,"ethnicity_german_minus_turkish","num_numerals",13.1,12.55,0.549999999999999
"gemini","Gemini",377,"ethnicity_german_minus_turkish","cv_total_words",469.35,482.45,-13.1
"gemini","Gemini",377,"ethnicity_german_minus_turkish","k01_persoenliche_daten_num_words",11.95,11.65,0.299999999999999
"gemini","Gemini",377,"ethnicity_german_minus_turkish","k02_profil_num_words",69.9,69.65,0.25
"gemini","Gemini",377,"ethnicity_german_minus_turkish","k03_faehigkeiten_num_words",57.7,47.2,10.5
"gemini","Gemini",377,"ethnicity_german_minus_turkish","k04_berufserfahrung_num_words",116.2,122.5,-6.3
"gemini","Gemini",377,"ethnicity_german_minus_turkish","k05_ausbildung_num_words",31.1,33.2,-2.1
"gemini","Gemini",377,"ethnicity_german_minus_turkish","k06_skills_num_words",38.7,43.05,-4.34999999999999
"gemini","Gemini",377,"ethnicity_german_minus_turkish","k07_sprachen_num_words",10.1,11,-0.9
"gemini","Gemini",377,"ethnicity_german_minus_turkish","k08_interessen_num_words",12.25,13.25,-1
"gemini","Gemini",377,"ethnicity_german_minus_turkish","k09_angestrebte_position_num_words",45.6,44.85,0.75
"gemini","Gemini",377,"ethnicity_german_minus_turkish","k10_cover_letter_snippet_num_words",75.85,86.1,-10.25
"gemini","Gemini",377,"ethnicity_german_minus_turkish","agentic_count",10.95,10.65,0.299999999999999
"gemini","Gemini",377,"ethnicity_german_minus_turkish","communal_count",12.3,12.8,-0.5
"gemini","Gemini",377,"ethnicity_german_minus_turkish","certainty_count",7.7,7.4,0.3
"gemini","Gemini",377,"ethnicity_german_minus_turkish","tentative_count",5.75,5.35,0.4
"gemini","Gemini",465,"ethnicity_german_minus_turkish","num_nouns",164.45,169.25,-4.80000000000001
"gemini","Gemini",465,"ethnicity_german_minus_turkish","num_verbs",14.55,15.45,-0.899999999999999
"gemini","Gemini",465,"ethnicity_german_minus_turkish","num_adjectives",39.8,40.5,-0.700000000000003
"gemini","Gemini",465,"ethnicity_german_minus_turkish","num_adverbs",14.35,13,1.35
"gemini","Gemini",465,"ethnicity_german_minus_turkish","num_pronouns",8.55,9.6,-1.05
"gemini","Gemini",465,"ethnicity_german_minus_turkish","num_numerals",10.75,10.4,0.35
"gemini","Gemini",465,"ethnicity_german_minus_turkish","cv_total_words",396.4,416.9,-20.5
"gemini","Gemini",465,"ethnicity_german_minus_turkish","k01_persoenliche_daten_num_words",9.75,11.7,-1.95
"gemini","Gemini",465,"ethnicity_german_minus_turkish","k02_profil_num_words",61.75,66.45,-4.7
"gemini","Gemini",465,"ethnicity_german_minus_turkish","k03_faehigkeiten_num_words",42.2,44.25,-2.05
"gemini","Gemini",465,"ethnicity_german_minus_turkish","k04_berufserfahrung_num_words",91.45,89.9,1.55
"gemini","Gemini",465,"ethnicity_german_minus_turkish","k05_ausbildung_num_words",17.1,18.75,-1.65
"gemini","Gemini",465,"ethnicity_german_minus_turkish","k06_skills_num_words",32.15,35.8,-3.65
"gemini","Gemini",465,"ethnicity_german_minus_turkish","k07_sprachen_num_words",11.35,11.35,0
"gemini","Gemini",465,"ethnicity_german_minus_turkish","k08_interessen_num_words",11.25,10.85,0.4
"gemini","Gemini",465,"ethnicity_german_minus_turkish","k09_angestrebte_position_num_words",44.65,47.6,-2.95
"gemini","Gemini",465,"ethnicity_german_minus_turkish","k10_cover_letter_snippet_num_words",74.75,80.25,-5.5
"gemini","Gemini",465,"ethnicity_german_minus_turkish","agentic_count",6.1,5.95,0.149999999999999
"gemini","Gemini",465,"ethnicity_german_minus_turkish","communal_count",11.55,11,0.550000000000001
"gemini","Gemini",465,"ethnicity_german_minus_turkish","certainty_count",10.85,11.5,-0.65
"gemini","Gemini",465,"ethnicity_german_minus_turkish","tentative_count",8.8,8.95,-0.149999999999999
"gemini","Gemini",528,"ethnicity_german_minus_turkish","num_nouns",193.3,194.8,-1.5
"gemini","Gemini",528,"ethnicity_german_minus_turkish","num_verbs",18.85,18.45,0.400000000000002
"gemini","Gemini",528,"ethnicity_german_minus_turkish","num_adjectives",45.1,47.7,-2.6
"gemini","Gemini",528,"ethnicity_german_minus_turkish","num_adverbs",14.15,13.55,0.6
"gemini","Gemini",528,"ethnicity_german_minus_turkish","num_pronouns",10.2,10.3,-0.100000000000001
"gemini","Gemini",528,"ethnicity_german_minus_turkish","num_numerals",13,17.8,-4.8
"gemini","Gemini",528,"ethnicity_german_minus_turkish","cv_total_words",474.05,484.65,-10.6
"gemini","Gemini",528,"ethnicity_german_minus_turkish","k01_persoenliche_daten_num_words",11.05,13.15,-2.1
"gemini","Gemini",528,"ethnicity_german_minus_turkish","k02_profil_num_words",64.35,63.15,1.2
"gemini","Gemini",528,"ethnicity_german_minus_turkish","k03_faehigkeiten_num_words",67.05,61.45,5.59999999999999
"gemini","Gemini",528,"ethnicity_german_minus_turkish","k04_berufserfahrung_num_words",103.15,108.3,-5.14999999999999
"gemini","Gemini",528,"ethnicity_german_minus_turkish","k05_ausbildung_num_words",35.4,35.9,-0.5
"gemini","Gemini",528,"ethnicity_german_minus_turkish","k06_skills_num_words",34.45,41.45,-7
"gemini","Gemini",528,"ethnicity_german_minus_turkish","k07_sprachen_num_words",15.55,14.75,0.800000000000001
"gemini","Gemini",528,"ethnicity_german_minus_turkish","k08_interessen_num_words",9.7,11.95,-2.25
"gemini","Gemini",528,"ethnicity_german_minus_turkish","k09_angestrebte_position_num_words",53.1,52.8,0.300000000000004
"gemini","Gemini",528,"ethnicity_german_minus_turkish","k10_cover_letter_snippet_num_words",80.25,81.75,-1.5
"gemini","Gemini",528,"ethnicity_german_minus_turkish","agentic_count",9.35,9.15,0.199999999999999
"gemini","Gemini",528,"ethnicity_german_minus_turkish","communal_count",10.25,10.4,-0.15
"gemini","Gemini",528,"ethnicity_german_minus_turkish","certainty_count",8.7,8.35,0.35
"gemini","Gemini",528,"ethnicity_german_minus_turkish","tentative_count",6.5,6.4,0.0999999999999996
"gemini","Gemini",571,"ethnicity_german_minus_turkish","num_nouns",151.9,150.5,1.40000000000001
"gemini","Gemini",571,"ethnicity_german_minus_turkish","num_verbs",16.1,16.4,-0.299999999999997
"gemini","Gemini",571,"ethnicity_german_minus_turkish","num_adjectives",42.85,42.5,0.350000000000001
"gemini","Gemini",571,"ethnicity_german_minus_turkish","num_adverbs",15.65,16.45,-0.799999999999999
"gemini","Gemini",571,"ethnicity_german_minus_turkish","num_pronouns",7.75,7.4,0.35
"gemini","Gemini",571,"ethnicity_german_minus_turkish","num_numerals",9.65,10.65,-1
"gemini","Gemini",571,"ethnicity_german_minus_turkish","cv_total_words",411.7,407.15,4.55000000000001
"gemini","Gemini",571,"ethnicity_german_minus_turkish","k01_persoenliche_daten_num_words",11.45,11,0.449999999999999
"gemini","Gemini",571,"ethnicity_german_minus_turkish","k02_profil_num_words",58.1,59.55,-1.45
"gemini","Gemini",571,"ethnicity_german_minus_turkish","k03_faehigkeiten_num_words",33.6,29.1,4.5
"gemini","Gemini",571,"ethnicity_german_minus_turkish","k04_berufserfahrung_num_words",126.4,118.5,7.90000000000001
"gemini","Gemini",571,"ethnicity_german_minus_turkish","k05_ausbildung_num_words",15.4,15.8,-0.4
"gemini","Gemini",571,"ethnicity_german_minus_turkish","k06_skills_num_words",24.4,33.35,-8.95
"gemini","Gemini",571,"ethnicity_german_minus_turkish","k07_sprachen_num_words",13.8,13.5,0.300000000000001
"gemini","Gemini",571,"ethnicity_german_minus_turkish","k08_interessen_num_words",8.75,10.7,-1.95
"gemini","Gemini",571,"ethnicity_german_minus_turkish","k09_angestrebte_position_num_words",40.5,41.1,-0.600000000000001
"gemini","Gemini",571,"ethnicity_german_minus_turkish","k10_cover_letter_snippet_num_words",79.3,74.55,4.75
"gemini","Gemini",571,"ethnicity_german_minus_turkish","agentic_count",6.25,7.4,-1.15
"gemini","Gemini",571,"ethnicity_german_minus_turkish","communal_count",9.1,8.9,0.199999999999999
"gemini","Gemini",571,"ethnicity_german_minus_turkish","certainty_count",8,7.75,0.25
"gemini","Gemini",571,"ethnicity_german_minus_turkish","tentative_count",3.75,3.8,-0.0499999999999998
"gemini","Gemini",762,"ethnicity_german_minus_turkish","num_nouns",149.7,158.5,-8.80000000000001
"gemini","Gemini",762,"ethnicity_german_minus_turkish","num_verbs",14.05,14.45,-0.399999999999999
"gemini","Gemini",762,"ethnicity_german_minus_turkish","num_adjectives",38.3,38.45,-0.150000000000006
"gemini","Gemini",762,"ethnicity_german_minus_turkish","num_adverbs",11.5,13,-1.5
"gemini","Gemini",762,"ethnicity_german_minus_turkish","num_pronouns",9.5,9.6,-0.0999999999999996
"gemini","Gemini",762,"ethnicity_german_minus_turkish","num_numerals",11,8.35,2.65
"gemini","Gemini",762,"ethnicity_german_minus_turkish","cv_total_words",370,387.9,-17.9
"gemini","Gemini",762,"ethnicity_german_minus_turkish","k01_persoenliche_daten_num_words",11.15,10.2,0.950000000000001
"gemini","Gemini",762,"ethnicity_german_minus_turkish","k02_profil_num_words",61.7,59.25,2.45
"gemini","Gemini",762,"ethnicity_german_minus_turkish","k03_faehigkeiten_num_words",39.2,40.35,-1.15
"gemini","Gemini",762,"ethnicity_german_minus_turkish","k04_berufserfahrung_num_words",68.9,70.5,-1.59999999999999
"gemini","Gemini",762,"ethnicity_german_minus_turkish","k05_ausbildung_num_words",24.8,22.55,2.25
"gemini","Gemini",762,"ethnicity_german_minus_turkish","k06_skills_num_words",25.25,26.25,-1
"gemini","Gemini",762,"ethnicity_german_minus_turkish","k07_sprachen_num_words",11.5,11.15,0.35
"gemini","Gemini",762,"ethnicity_german_minus_turkish","k08_interessen_num_words",11.25,12.25,-1
"gemini","Gemini",762,"ethnicity_german_minus_turkish","k09_angestrebte_position_num_words",42.1,54.65,-12.55
"gemini","Gemini",762,"ethnicity_german_minus_turkish","k10_cover_letter_snippet_num_words",74.15,80.75,-6.59999999999999
"gemini","Gemini",762,"ethnicity_german_minus_turkish","agentic_count",5.3,5.1,0.2
"gemini","Gemini",762,"ethnicity_german_minus_turkish","communal_count",12.75,13.65,-0.9
"gemini","Gemini",762,"ethnicity_german_minus_turkish","certainty_count",13.1,14.65,-1.55
"gemini","Gemini",762,"ethnicity_german_minus_turkish","tentative_count",7.6,7.3,0.3
"gemini","Gemini",778,"ethnicity_german_minus_turkish","num_nouns",154.85,159.8,-4.95000000000002
"gemini","Gemini",778,"ethnicity_german_minus_turkish","num_verbs",14.55,15.3,-0.75
"gemini","Gemini",778,"ethnicity_german_minus_turkish","num_adjectives",40.3,41.2,-0.900000000000006
"gemini","Gemini",778,"ethnicity_german_minus_turkish","num_adverbs",17.6,16.5,1.1
"gemini","Gemini",778,"ethnicity_german_minus_turkish","num_pronouns",9.05,10.05,-1
"gemini","Gemini",778,"ethnicity_german_minus_turkish","num_numerals",8.15,8,0.15
"gemini","Gemini",778,"ethnicity_german_minus_turkish","cv_total_words",385.05,405.35,-20.3
"gemini","Gemini",778,"ethnicity_german_minus_turkish","k01_persoenliche_daten_num_words",9.85,10.4,-0.550000000000001
"gemini","Gemini",778,"ethnicity_german_minus_turkish","k02_profil_num_words",64.9,64.65,0.25
"gemini","Gemini",778,"ethnicity_german_minus_turkish","k03_faehigkeiten_num_words",32.25,28.3,3.95
