"seed","model_key","model_label","target","term","coefficient"
1,"chatgpt","ChatGPT","gender","fachkraft",-1.03497737620966
1,"chatgpt","ChatGPT","gender","fach-mann/-frau",0.568532352041944
1,"chatgpt","ChatGPT","gender","(Intercept)",0.457443731537708
1,"chatgpt","ChatGPT","gender","kauf-mann/-frau",-0.217151485221414
1,"chatgpt","ChatGPT","gender","kommunikationsspezialist",-0.0421109272391758
1,"chatgpt","ChatGPT","ethnicity","(Intercept)",-3.29822745945626e-16
1,"chatgpt","ChatGPT","ethnicity","muttersprache",-1.97014394041116e-17
1,"gemini","Gemini","gender","fachkraft",-1.74063493366357
1,"gemini","Gemini","gender","(Intercept)",1.18163740004153
1,"gemini","Gemini","gender","führungskraft",-0.408641391657216
1,"gemini","Gemini","gender","profi",0.177740394181556
1,"gemini","Gemini","gender","kauf-mann/-frau",-0.136032159015913
1,"gemini","Gemini","gender","persönlichkeit",-0.13148001455826
1,"gemini","Gemini","ethnicity","(Intercept)",-3.14489471666183e-16
1,"gemini","Gemini","ethnicity","austausch",-2.74379265535943e-17
1,"qwen4B","Qwen 4B","gender","fachkraft",-0.380889423448795
1,"qwen4B","Qwen 4B","gender","(Intercept)",0.161724919646438
1,"qwen4B","Qwen 4B","gender","fachperson",-0.0937896298318559
1,"qwen4B","Qwen 4B","gender","wertvoll",0.0866560090145493
1,"qwen4B","Qwen 4B","gender","liegen",0.0369935746984628
1,"qwen4B","Qwen 4B","gender","prägen",0.0358910390650292
1,"qwen4B","Qwen 4B","gender","fach-mann/-frau",0.0102958350962006
1,"qwen4B","Qwen 4B","gender","fokus",-0.00436733243768802
1,"qwen4B","Qwen 4B","gender","möchten",0.00389468029486491
1,"qwen4B","Qwen 4B","ethnicity","(Intercept)",-4.44089209850065e-16
1,"qwen8B","Qwen 8B","gender","fachkraft",-0.596457531112462
1,"qwen8B","Qwen 8B","gender","sport",0.223766597987946
1,"qwen8B","Qwen 8B","gender","(Intercept)",0.121525146171592
1,"qwen8B","Qwen 8B","gender","ergebnisorientiert",0.113675361196668
1,"qwen8B","Qwen 8B","gender","neu",0.0303535730814868
1,"qwen8B","Qwen 8B","gender","ki",0.0077452985185717
1,"qwen8B","Qwen 8B","ethnicity","(Intercept)",-3.41609893306938e-16
1,"qwen8B","Qwen 8B","ethnicity","kaufmännisch",1.46316101215187e-16
1,"qwen14B","Qwen 14B","gender","fachkraft",-0.423459145552078
1,"qwen14B","Qwen 14B","gender","(Intercept)",0.292847685735339
1,"qwen14B","Qwen 14B","ethnicity","(Intercept)",0.127901445263427
1,"qwen14B","Qwen 14B","ethnicity","muttersprachlich",-0.0538844393034402
1,"qwen14B","Qwen 14B","ethnicity","berl",-0.0352187952886643
1,"qwen14B","Qwen 14B","ethnicity","lernen",-0.0144894593877416
1,"qwen4B_topk64","Qwen 4B top_k=64","gender","fachkraft",-0.230498016723687
1,"qwen4B_topk64","Qwen 4B top_k=64","gender","(Intercept)",0.152978373720503
1,"qwen4B_topk64","Qwen 4B top_k=64","gender","fachperson",-0.094573865873259
1,"qwen4B_topk64","Qwen 4B top_k=64","gender","prägen",0.065902564224483
1,"qwen4B_topk64","Qwen 4B top_k=64","gender","umfassen",0.0519071896171504
1,"qwen4B_topk64","Qwen 4B top_k=64","gender","teammitglied",0.0452329487032585
1,"qwen4B_topk64","Qwen 4B top_k=64","gender","reichen",0.0331728119354704
1,"qwen4B_topk64","Qwen 4B top_k=64","gender","person",-0.0210876176409022
1,"qwen4B_topk64","Qwen 4B top_k=64","gender","motiviert",-0.0112611876151772
1,"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","schaffen",0.102253297784268
1,"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","berl",-0.077581669815316
1,"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","vision",-0.0639063993447185
1,"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","alt",0.0596684950367061
1,"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","(Intercept)",0.0129880321299229
1,"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","kommunikativ",-0.00247139621953221
1,"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","analytik",0.00166676246020758
1,"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","information",0.00124262567224757
1,"qwen8B_topk64","Qwen 8B top_k=64","gender","fachkraft",-0.375864894261092
1,"qwen8B_topk64","Qwen 8B top_k=64","gender","(Intercept)",0.258400532382906
1,"qwen8B_topk64","Qwen 8B top_k=64","gender","sport",0.00122311967813198
1,"qwen8B_topk64","Qwen 8B top_k=64","ethnicity","(Intercept)",-4.44089209850065e-16
1,"qwen14B_topk64","Qwen 14B top_k=64","gender","fachkraft",-0.442809927089065
1,"qwen14B_topk64","Qwen 14B top_k=64","gender","(Intercept)",0.303990594254814
1,"qwen14B_topk64","Qwen 14B top_k=64","gender","profi",0.00603221440863097
1,"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","(Intercept)",0.143886590306819
1,"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","berl",-0.0964629205625267
1,"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","st",0.0635284845698975
1,"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","muttersprachlich",-0.0378549821420029
1,"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","laufbahn",-0.0134191651204967
1,"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","workshops",-0.00272993526397566
7,"chatgpt","ChatGPT","gender","fachkraft",-1.02842701621821
7,"chatgpt","ChatGPT","gender","fach-mann/-frau",0.642666376859072
7,"chatgpt","ChatGPT","gender","(Intercept)",0.466915251949787
7,"chatgpt","ChatGPT","gender","kauf-mann/-frau",-0.209111081168832
7,"chatgpt","ChatGPT","ethnicity","(Intercept)",-3.29785229074527e-16
7,"chatgpt","ChatGPT","ethnicity","bildungsmanager",-3.85299322073711e-17
7,"gemini","Gemini","gender","fachkraft",-1.46666746017849
7,"gemini","Gemini","gender","(Intercept)",1.10304782347351
7,"gemini","Gemini","gender","führungskraft",-0.328705999248393
7,"gemini","Gemini","gender","profi",0.081988608473729
7,"gemini","Gemini","ethnicity","austausch",-0.0448328460396993
7,"gemini","Gemini","ethnicity","(Intercept)",0.0244398130511274
7,"gemini","Gemini","ethnicity","muttersprache",0.0107133612918716
7,"qwen4B","Qwen 4B","gender","fachkraft",-0.378400080108285
7,"qwen4B","Qwen 4B","gender","(Intercept)",0.163621648274631
7,"qwen4B","Qwen 4B","gender","wertvoll",0.118030844634789
7,"qwen4B","Qwen 4B","gender","fachperson",-0.066145705577048
7,"qwen4B","Qwen 4B","gender","arbeitsatmosphär",0.0573330107179874
7,"qwen4B","Qwen 4B","gender","liegen",0.0569584538418951
7,"qwen4B","Qwen 4B","gender","entwickelnd",-0.0539683371337879
7,"qwen4B","Qwen 4B","gender","erfahrenе",-0.035440362568849
7,"qwen4B","Qwen 4B","gender","fokus",-0.0251167130473145
7,"qwen4B","Qwen 4B","gender","prägen",0.0224500214039537
7,"qwen4B","Qwen 4B","gender","erfahrend",0.00774051822184447
