model,contrast,label_a,label_b,term,avg_tfidf_turkish,avg_tfidf_german,ATE_tfidf,sum_tf_turkish,sum_tf_german,tf_ratio_a_over_b,doc_share_turkish,doc_share_german,chi2,chi2_p
chatgpt,ethnicity_turkish_vs_german,turkish,german,sprachanwendung,1.96197581014574,1.6680765997190496,0.2938992104266904,494.0,420.0,1.1761904757709751,0.2666666666666671,0.23500000000000054,14.276941950705583,0.00015778593669371765
chatgpt,ethnicity_turkish_vs_german,turkish,german,annähernd,1.4097729150193528,1.1519858677015264,0.2577870473178263,350.0,286.0,1.2237762229937894,0.26166666666666716,0.2233333333333338,15.564500970132569,7.97377052707117e-05
chatgpt,ethnicity_turkish_vs_german,turkish,german,muttersprache,0.25438091028750554,0.009085032510268055,0.2452958777772375,28.0,1.0,27.999973000027005,0.021666666666666667,0.0016666666666666668,137.0273524134913,1.1893546123191495e-31
chatgpt,ethnicity_turkish_vs_german,turkish,german,strategisch,1.0218279330146902,0.8119175436744627,0.20991038934022754,258.0,205.0,1.2585365841046996,0.27833333333333365,0.22666666666666715,14.41717144928578,0.0001464607097393615
chatgpt,ethnicity_turkish_vs_german,turkish,german,sprachverwendung,1.0903030244932053,0.8916461174880879,0.1986569070051174,236.0,193.0,1.2227979263067466,0.18500000000000022,0.15500000000000003,11.947198603104887,0.0005472960882768954
chatgpt,ethnicity_turkish_vs_german,turkish,german,development,1.1223738649083312,0.9240233111960825,0.19835055371224874,232.0,191.0,1.2146596847400017,0.1650000000000001,0.13333333333333322,11.535280428655575,0.00068287776157029
chatgpt,ethnicity_turkish_vs_german,turkish,german,professional,0.7776950577790269,0.5993700763774665,0.1783249814015604,157.0,121.0,1.2975206586981765,0.15333333333333335,0.12499999999999983,13.85546618084071,0.0001974216364862709
chatgpt,ethnicity_turkish_vs_german,turkish,german,business,1.2415970248803345,1.0642260213260002,0.17737100355433433,273.0,234.0,1.166666665954416,0.1866666666666669,0.16833333333333345,8.18635401020007,0.004220666428165663
chatgpt,ethnicity_turkish_vs_german,turkish,german,sprache,0.4247688060853744,0.25764665287145666,0.1671221532139177,61.0,37.0,1.6486486311176045,0.048333333333333305,0.034999999999999996,24.556724553881814,7.215409663362661e-07
chatgpt,ethnicity_turkish_vs_german,turkish,german,interkulturell,1.4121762261555564,1.2486610841796506,0.16351514197590578,475.0,420.0,1.1309523806405897,0.4783333333333316,0.4349999999999987,6.029049927603248,0.01407230558721606
chatgpt,ethnicity_turkish_vs_german,turkish,german,bildung,2.1849756642145297,2.0355756187981515,0.1494000454163782,702.0,654.0,1.07339449530062,0.4166666666666656,0.4233333333333322,3.1730983097283403,0.07486030967109927
chatgpt,ethnicity_turkish_vs_german,turkish,german,kenntnisse,1.2782885513284987,1.1306552256821092,0.14763332564638953,355.0,314.0,1.130573247991805,0.33166666666666644,0.29500000000000015,5.428669373544359,0.01980876702512203
chatgpt,ethnicity_turkish_vs_german,turkish,german,bieten,0.551702742102921,0.4042649403340372,0.14743780176888382,116.0,85.0,1.3647058780622838,0.17666666666666683,0.13666666666666658,13.643498074135552,0.00022100530363301213
chatgpt,ethnicity_turkish_vs_german,turkish,german,diversity,0.6952618348937193,0.5486419921610302,0.14661984273268913,147.0,116.0,1.2672413770065398,0.16666666666666677,0.15166666666666667,10.369312071589377,0.0012812728195291765
chatgpt,ethnicity_turkish_vs_german,turkish,german,einstieg,1.0991550516241475,0.954922035800164,0.1442330158239835,221.0,192.0,1.1510416658799913,0.16000000000000006,0.11499999999999985,6.076645218734335,0.01369806618761573
chatgpt,ethnicity_turkish_vs_german,turkish,german,inclusion,0.5085127052480672,0.3684122660470693,0.14010043920099796,98.0,71.0,1.380281684784765,0.13333333333333322,0.1083333333333332,13.429746242935948,0.00024766561377799213
chatgpt,ethnicity_turkish_vs_german,turkish,german,prozessoptimierung,0.32296747854335434,0.18364817407367212,0.13931930446968221,51.0,29.0,1.758620663495839,0.07666666666666659,0.04499999999999998,22.98768523749753,1.6304247223427159e-06
chatgpt,ethnicity_turkish_vs_german,turkish,german,management,1.3509740399026218,1.215876635912361,0.13509740399026082,460.0,414.0,1.1111111108427267,0.471666666666665,0.4616666666666651,4.266233810218848,0.03887700694784334
chatgpt,ethnicity_turkish_vs_german,turkish,german,bildungsprogrammen,0.2891977748384126,0.1542388132471533,0.13495896159125928,45.0,24.0,1.874999963541668,0.07499999999999993,0.03999999999999999,24.644679942751722,6.893479134122683e-07
chatgpt,ethnicity_turkish_vs_german,turkish,german,quereinstieg,0.3498547114721222,0.21690992111271573,0.13294479035940648,50.0,31.0,1.6129032060353803,0.053333333333333295,0.028333333333333335,18.71074827280529,1.5212259157917888e-05
chatgpt,ethnicity_turkish_vs_german,turkish,german,erwachsene,0.2483299870316798,0.11726693832051549,0.1310630487111643,36.0,17.0,2.1176469930795885,0.058333333333333286,0.028333333333333335,28.190919911458,1.0991902015702471e-07
chatgpt,ethnicity_turkish_vs_german,turkish,german,berl,0.5856830871884311,0.46095428158348706,0.12472880560494404,108.0,85.0,1.2705882321107267,0.11499999999999985,0.09499999999999989,8.918432732374203,0.0028230667440813473
chatgpt,ethnicity_turkish_vs_german,turkish,german,leidenschaft,0.9006030445230041,0.7872177691334167,0.11338527538958743,278.0,243.0,1.1440329212179716,0.4149999999999989,0.3633333333333328,4.570231829522667,0.03253216263362048
chatgpt,ethnicity_turkish_vs_german,turkish,german,ergreifen,0.19528417555053262,0.08262022811753301,0.11266394743299961,26.0,11.0,2.363636239669433,0.04166666666666665,0.018333333333333333,27.404743970189042,1.650259077951677e-07
chatgpt,ethnicity_turkish_vs_german,turkish,german,work,0.17192557998417765,0.06251839272151914,0.10940718726265851,22.0,8.0,2.7499997812500276,0.03666666666666666,0.013333333333333334,30.63401243354436,3.1158346609557266e-08
chatgpt,ethnicity_turkish_vs_german,turkish,german,kompetent,0.8320702763200235,0.7228610525530205,0.10920922376700304,160.0,139.0,1.1510791356037473,0.12333333333333317,0.11666666666666652,4.6021278242951205,0.031932300224350785
chatgpt,ethnicity_turkish_vs_german,turkish,german,beispiel,0.29343376683633277,0.18499085300551413,0.10844291383081864,46.0,29.0,1.5862068763376937,0.0716666666666666,0.04666666666666664,14.748236280991325,0.00012286240138050387
chatgpt,ethnicity_turkish_vs_german,turkish,german,hochschulreife,0.248494085889163,0.14103718388303854,0.10745690200612446,37.0,21.0,1.7619047256235842,0.06166666666666661,0.034999999999999996,17.785969987220597,2.4719937433519436e-05
chatgpt,ethnicity_turkish_vs_german,turkish,german,türkisch,0.33092064156314605,0.2247762848353446,0.10614435672780145,53.0,36.0,1.4722222091049386,0.06999999999999994,0.058333333333333286,12.164858860939091,0.0004869834998255973
chatgpt,ethnicity_turkish_vs_german,turkish,german,verhandlungsgeschick,0.19528417555053262,0.09013115794639966,0.10515301760413297,26.0,12.0,2.1666665694444527,0.03999999999999999,0.02,23.244351259860927,1.4266887197227814e-06
