model,contrast,label_a,label_b,term,avg_tfidf_male,avg_tfidf_female,ATE_tfidf,sum_tf_male,sum_tf_female,tf_ratio_a_over_b,doc_share_male,doc_share_female,chi2,chi2_p
chatgpt,gender_male_vs_female,male,female,fach-mann/-frau,1.162453696911475,0.024733057381095203,1.1377206395303798,282.0,6.0,46.99999233333461,0.4483333333333319,0.01,654.1893677299654,2.741641780321778e-144
chatgpt,gender_male_vs_female,male,female,sport,0.653813993438458,0.26340707649319106,0.39040691694526697,139.0,56.0,2.482142830676021,0.2300000000000005,0.09333333333333323,99.70392032755959,1.7697057498945367e-23
chatgpt,gender_male_vs_female,male,female,einstieg,1.173758335671035,0.8803187517532765,0.2934395839177586,236.0,177.0,1.3333333314500941,0.15833333333333338,0.11666666666666652,25.15196433580779,5.298565512999537e-07
chatgpt,gender_male_vs_female,male,female,consultant,1.279172696148115,1.032203710258133,0.24696898588998195,404.0,326.0,1.2392638029470435,0.4266666666666655,0.3866666666666659,15.833080191302818,6.918236753668451e-05
chatgpt,gender_male_vs_female,male,female,kompetent,0.8892751078170251,0.6656562210560188,0.22361888676100627,171.0,128.0,1.3359374973754883,0.1349999999999999,0.10499999999999987,19.295542737237458,1.1196742575654291e-05
chatgpt,gender_male_vs_female,male,female,marketing,3.240678293793073,3.0225218831359926,0.21815641065708036,921.0,859.0,1.0721769498577685,0.3299999999999998,0.32833333333333314,4.559223863170414,0.032741908071898654
chatgpt,gender_male_vs_female,male,female,kommunikationsprofi,0.22350981176052437,0.023121704664881823,0.20038810709564253,29.0,3.0,9.66666377777874,0.048333333333333305,0.005,97.68920220912572,4.894843204052211e-23
chatgpt,gender_male_vs_female,male,female,muttersprachler,0.25116124295144776,0.07176035512898508,0.17940088782246266,28.0,8.0,3.4999996875000394,0.018333333333333333,0.006666666666666667,59.800295940820945,1.0498756886234234e-14
chatgpt,gender_male_vs_female,male,female,fitness,0.22739519805254463,0.06601796072493235,0.16137723732761228,31.0,9.0,3.4444441728395367,0.05166666666666663,0.015000000000000001,53.25448831811212,2.9301720294885223e-13
chatgpt,gender_male_vs_female,male,female,ag,0.9818309673973014,0.8299744444398536,0.15185652295744778,375.0,317.0,1.182965299107365,0.6100000000000005,0.5199999999999985,7.636715316357385,0.005719197040104467
chatgpt,gender_male_vs_female,male,female,franzoesisch,0.2871505681645666,0.13704913480581593,0.15010143335875065,44.0,21.0,2.0952380430839024,0.07333333333333326,0.034999999999999996,31.867688928473243,1.650398079658406e-08
chatgpt,gender_male_vs_female,male,female,optimierung,0.5149519128184621,0.36782279487033015,0.14712911794813194,105.0,75.0,1.3999999946666668,0.1633333333333334,0.12333333333333317,14.712911794813134,0.00012518609605744553
chatgpt,gender_male_vs_female,male,female,technologie,0.739213295037416,0.6059125369159147,0.13330075812150122,183.0,150.0,1.2199999985333334,0.25833333333333386,0.2233333333333338,7.925991023440507,0.004872964686115965
chatgpt,gender_male_vs_female,male,female,innovativ,1.479205021988538,1.3462699301431627,0.13293509184537533,612.0,557.0,1.0987432673272113,0.6500000000000015,0.6250000000000009,3.7526587090654147,0.052723585223563185
chatgpt,gender_male_vs_female,male,female,professional,0.7529276992510325,0.624137434905461,0.1287902643455715,152.0,126.0,1.2063492047115143,0.15333333333333335,0.12499999999999983,7.227079581981718,0.007181193455470914
chatgpt,gender_male_vs_female,male,female,nürnberg,0.2405646309500323,0.11640224078227367,0.12416239016775864,31.0,15.0,2.0666665955555605,0.030000000000000002,0.021666666666666667,25.91215099153223,3.5731288702049296e-07
chatgpt,gender_male_vs_female,male,female,junior,0.611235362033558,0.487278540362417,0.12395682167114097,143.0,114.0,1.254385962680825,0.2316666666666672,0.1866666666666669,8.392407381625977,0.003767915465456201
chatgpt,gender_male_vs_female,male,female,pädagoge,0.121445354029742,0.0,0.121445354029742,13.0,0.0,13000001.0,0.02,0.0,72.8672124178452,1.3867290709893763e-17
chatgpt,gender_male_vs_female,male,female,politik,0.37609915702143615,0.2552101422645459,0.12088901475689023,56.0,38.0,1.473684198060942,0.053333333333333295,0.043333333333333314,13.889376163557586,0.00019389135324076424
chatgpt,gender_male_vs_female,male,female,implementierung,0.6859885601242651,0.5663393926607305,0.1196491674635346,172.0,142.0,1.2112676041460029,0.27166666666666706,0.22500000000000048,6.8588694724319765,0.00882023369068557
chatgpt,gender_male_vs_female,male,female,anwendung,0.2912381620236931,0.17316863687895265,0.11806952514474048,37.0,22.0,1.6818181508264476,0.02666666666666667,0.021666666666666667,18.010605530553633,2.1967769748536157e-05
chatgpt,gender_male_vs_female,male,female,unternehmensziele,0.12558062147572388,0.008970044391123136,0.11661057708460075,14.0,1.0,13.999987000013,0.023333333333333334,0.0016666666666666668,60.637500083992386,6.8614383029076135e-15
chatgpt,gender_male_vs_female,male,female,sprachverwendung,1.0487236718642274,0.933225470117066,0.11549820174716141,227.0,202.0,1.1237623756249386,0.17666666666666683,0.1633333333333334,4.038398662488111,0.04447600540530224
chatgpt,gender_male_vs_female,male,female,media,1.008333314659233,0.893459899065143,0.11487341559409003,237.0,210.0,1.1285714279591836,0.21333333333333374,0.21000000000000038,4.163197612134831,0.04131134444502626
chatgpt,gender_male_vs_female,male,female,strategisch,0.9743010524093552,0.8594444242797972,0.11485662812955799,246.0,217.0,1.1336405523795365,0.2633333333333338,0.24166666666666725,4.316426197525541,0.03774611774765296
chatgpt,gender_male_vs_female,male,female,ausgezeichnet,0.47153076584142944,0.3573706856903462,0.11416008015108325,95.0,72.0,1.319444440007716,0.15833333333333338,0.11833333333333318,9.43358746158648,0.002130471199775865
chatgpt,gender_male_vs_female,male,female,prozessoptimierung,0.3103020872279287,0.19631356538909778,0.1139885218388309,49.0,31.0,1.580645142559834,0.07333333333333326,0.048333333333333305,15.38845044824215,8.752160844242457e-05
chatgpt,gender_male_vs_female,male,female,analyse,0.8470044882404401,0.7330576961004706,0.1139467921399695,223.0,193.0,1.1554404137023813,0.29166666666666685,0.26500000000000046,4.9303900445179645,0.026388360756558666
chatgpt,gender_male_vs_female,male,female,gestalten,0.21417071730028855,0.10708535865014428,0.10708535865014428,30.0,15.0,1.999999933333338,0.04999999999999997,0.025,21.41707173002886,3.694667989748711e-06
chatgpt,gender_male_vs_female,male,female,social,1.0405359839318618,0.9349176697733648,0.10561831415849698,266.0,239.0,1.1129707108243903,0.2633333333333338,0.2566666666666672,3.388151860134009,0.06566651492254896
