model,contrast,label_a,label_b,term,avg_tfidf_german,avg_tfidf_turkish,ATE_tfidf,sum_tf_german,sum_tf_turkish,tf_ratio_a_over_b,doc_share_german,doc_share_turkish,chi2,chi2_p
gemini,ethnicity_german_vs_turkish,german,turkish,musterstadt,2.006625991316822,1.5248840236471888,0.4817419676696333,529.0,402.0,1.3159203972240787,0.28833333333333355,0.2700000000000004,39.429364056311755,3.401433578161681e-10
gemini,ethnicity_german_vs_turkish,german,turkish,verhandlungssich,1.1249503785063597,0.730020990307318,0.39492938819904166,188.0,122.0,1.5409836021230852,0.0899999999999999,0.05999999999999995,50.44904442800643,1.2229933978553093e-12
gemini,ethnicity_german_vs_turkish,german,turkish,muttersprache,0.5242521948446573,0.19314554546908436,0.331106649375573,76.0,28.0,2.7142856530612263,0.06333333333333328,0.023333333333333334,91.69107213477415,1.0132098262467003e-21
gemini,ethnicity_german_vs_turkish,german,turkish,niveau,3.4836410825508644,3.220648434042381,0.2629926485084835,1722.0,1592.0,1.0816582914059936,0.8366666666666724,0.7783333333333378,6.189929566584807,0.01284793000924351
gemini,ethnicity_german_vs_turkish,german,turkish,sprache,3.2700625181950236,3.0084575167394245,0.26160500145559906,1600.0,1472.0,1.0869565216800567,0.8266666666666722,0.7683333333333375,6.540125036390105,0.01054679360030847
gemini,ethnicity_german_vs_turkish,german,turkish,autodidaktisch,1.194727661161736,0.9714506884200355,0.22327697274170044,305.0,248.0,1.2298387087506504,0.27500000000000036,0.24333333333333393,13.80844930879963,0.00020242384871793016
gemini,ethnicity_german_vs_turkish,german,turkish,experte/-in,0.569828996274957,0.38726242465288285,0.18256657162207413,103.0,70.0,1.4714285646938776,0.1083333333333332,0.08833333333333324,20.89490241686145,4.851840440053598e-06
gemini,ethnicity_german_vs_turkish,german,turkish,office,0.876407900039026,0.7017978969661157,0.1746100030729103,261.0,209.0,1.2488038265607473,0.3966666666666658,0.32833333333333314,11.591132118882559,0.0006626705783034678
gemini,ethnicity_german_vs_turkish,german,turkish,asana,0.4701501016225716,0.3066196314929815,0.1635304701295901,92.0,60.0,1.5333333244444447,0.15333333333333335,0.09999999999999988,20.656480437421887,5.495088090318009e-06
gemini,ethnicity_german_vs_turkish,german,turkish,datenanalyse,0.8056377275877997,0.6461055043030868,0.15953222328471295,202.0,162.0,1.2469135787227557,0.276666666666667,0.22000000000000045,10.518608128662445,0.0011817846150176535
gemini,ethnicity_german_vs_turkish,german,turkish,stärke,0.6572329220545992,0.4993263109116107,0.15790661114298843,154.0,117.0,1.316239313536416,0.24000000000000057,0.1800000000000002,12.935523126842632,0.0003224051269018133
gemini,ethnicity_german_vs_turkish,german,turkish,arbeitsumfeld,0.6414091441291002,0.487832306802414,0.1535768373266862,142.0,108.0,1.3148148118998628,0.20000000000000032,0.16166666666666674,12.531869925857592,0.00040006923341932014
gemini,ethnicity_german_vs_turkish,german,turkish,mehrjährig,0.4078474744256336,0.2549046715160212,0.15294280290961243,72.0,45.0,1.599999986666667,0.11166666666666653,0.06999999999999994,21.176695787484775,4.188263408173244e-06
gemini,ethnicity_german_vs_turkish,german,turkish,konzeptionell,1.3089384639424784,1.1646737407660224,0.144264723176456,372.0,331.0,1.1238670691121841,0.3333333333333331,0.32499999999999984,5.048239246288437,0.024650976264007828
gemini,ethnicity_german_vs_turkish,german,turkish,organisationsentwicklung,0.5440346723634377,0.4054598029878454,0.13857486937559232,106.0,79.0,1.3417721475725044,0.14833333333333332,0.10166666666666654,12.13466423721411,0.0004949317860706309
gemini,ethnicity_german_vs_turkish,german,turkish,mobilität,0.4451925695769335,0.3109281438315092,0.1342644257454243,63.0,44.0,1.4318181720041325,0.043333333333333314,0.034999999999999996,14.30480797661531,0.00015546728411627655
gemini,ethnicity_german_vs_turkish,german,turkish,marktanalyse,0.8430349096237935,0.7099241344200361,0.13311077520375736,209.0,176.0,1.187499998934659,0.26833333333333376,0.2150000000000004,6.845697010478965,0.008885502551033358
gemini,ethnicity_german_vs_turkish,german,turkish,kreativ,0.7954556982928991,0.6660743497753796,0.12938134851751948,166.0,139.0,1.1942446029191036,0.15833333333333338,0.14833333333333332,6.8720585114223365,0.008755374313550508
gemini,ethnicity_german_vs_turkish,german,turkish,joggen,0.1744553186053659,0.04757872325600888,0.12687659534935702,22.0,6.0,3.6666662222222963,0.03666666666666666,0.01,43.50054697692238,4.23840906946728e-11
gemini,ethnicity_german_vs_turkish,german,turkish,ms,0.8135805678148417,0.6892341928213069,0.12434637499353474,229.0,194.0,1.1804123702040599,0.34499999999999964,0.3000000000000001,6.1732242904590855,0.012969801880801185
gemini,ethnicity_german_vs_turkish,german,turkish,pflege,0.576023554062311,0.4525899353346734,0.12343361872763758,126.0,99.0,1.272727269972452,0.19833333333333364,0.15166666666666667,8.887220548390008,0.002871735650535289
gemini,ethnicity_german_vs_turkish,german,turkish,marketing,4.905591585188665,4.782240152679086,0.1233514325095788,1551.0,1512.0,1.0257936507765915,0.404999999999999,0.409999999999999,0.9423517860672826,0.3316737554825715
gemini,ethnicity_german_vs_turkish,german,turkish,positiv,0.5959387156231885,0.47296723462157786,0.1229714810016106,126.0,100.0,1.2599999974,0.17500000000000016,0.14333333333333328,8.488296918695182,0.0035743824667256144
gemini,ethnicity_german_vs_turkish,german,turkish,geschäftsmodelle,0.1637341001809383,0.04093352504523456,0.12280057513570375,20.0,5.0,3.99999940000012,0.03166666666666667,0.008333333333333333,44.208207048853325,2.952408716131202e-11
gemini,ethnicity_german_vs_turkish,german,turkish,durchhaltevermög,0.4914647948575531,0.369815093160139,0.12164970169741413,101.0,76.0,1.3289473640927978,0.16666666666666677,0.1266666666666665,10.309296754018185,0.0013236171226675732
gemini,ethnicity_german_vs_turkish,german,turkish,bamberg,0.5038686662455506,0.3822451950828316,0.12162347116271899,87.0,66.0,1.3181818133608816,0.08833333333333324,0.07999999999999992,10.016050566341587,0.0015518187299007264
gemini,ethnicity_german_vs_turkish,german,turkish,informationstechnologie,0.4907153099947726,0.37387833142458865,0.11683697857018394,84.0,64.0,1.3124999951171876,0.09166666666666656,0.0716666666666666,9.473268532717622,0.0020848757132169863
gemini,ethnicity_german_vs_turkish,german,turkish,französisch,1.4624720445606876,1.3464028346749168,0.11606920988577074,441.0,406.0,1.0862068963393918,0.38166666666666593,0.36166666666666614,2.8777490054323245,0.08981148993291788
gemini,ethnicity_german_vs_turkish,german,turkish,grundlagen,0.39961997667750543,0.28378809937967797,0.11583187729782746,69.0,49.0,1.40816325697626,0.09666666666666655,0.0716666666666666,11.779512945541775,0.0005988615112067035
gemini,ethnicity_german_vs_turkish,german,turkish,referent,0.3706620073530485,0.25483013005522115,0.11583187729782735,64.0,44.0,1.4545454442148762,0.09833333333333322,0.06999999999999994,12.870208588647484,0.00033385439570423405
