model,contrast,label_a,label_b,term,avg_tfidf_turkish,avg_tfidf_german,ATE_tfidf,sum_tf_turkish,sum_tf_german,tf_ratio_a_over_b,doc_share_turkish,doc_share_german,chi2,chi2_p
gemini,ethnicity_turkish_vs_german,turkish,german,jjjj,0.8404541832462431,0.22297764045308494,0.6174765427931581,98.0,26.0,3.769230662721897,0.025,0.006666666666666667,215.12086006987454,1.0488217011074447e-48
gemini,ethnicity_turkish_vs_german,turkish,german,mm,0.7546935523027489,0.19724945117003667,0.5574441011327123,88.0,23.0,3.8260868336483984,0.023333333333333334,0.008333333333333333,195.8587382358179,1.6733785209398022e-44
gemini,ethnicity_turkish_vs_german,turkish,german,professional,1.6976538312391916,1.3503259075201086,0.34732792371908294,479.0,381.0,1.2572178470939164,0.35499999999999954,0.2933333333333335,23.74753711009564,1.0983583624384303e-06
gemini,ethnicity_turkish_vs_german,turkish,german,bank,0.7052251524338574,0.4599294472394722,0.2452957051943852,138.0,90.0,1.5333333274074075,0.14833333333333332,0.10499999999999987,30.98472065613285,2.600677394175977e-08
gemini,ethnicity_turkish_vs_german,turkish,german,deutschland,0.41550079738021944,0.17578879889163135,0.2397119984885881,52.0,22.0,2.363636301652895,0.028333333333333335,0.016666666666666666,58.30832395668361,2.2409391825349103e-14
gemini,ethnicity_turkish_vs_german,turkish,german,kenntnisse,2.4532769417460374,2.2173031631205506,0.23597377862548674,1154.0,1043.0,1.1064237774626808,0.7816666666666712,0.7366666666666701,7.153324377085438,0.007482516644367682
gemini,ethnicity_turkish_vs_german,turkish,german,austausch,0.7934642922065619,0.5579611917799546,0.23550310042660727,219.0,154.0,1.4220779193371564,0.3633333333333328,0.25500000000000056,24.62364857007424,6.969122377244743e-07
gemini,ethnicity_turkish_vs_german,turkish,german,verwaltung,1.3212263572822796,1.0911620662132244,0.23006429106905513,402.0,332.0,1.2108433728589054,0.3933333333333325,0.3633333333333328,13.164441723297486,0.00028531177803987494
gemini,ethnicity_turkish_vs_german,turkish,german,ort,0.3066503703503261,0.07885295237579815,0.22779741797452796,35.0,9.0,3.88888856790127,0.021666666666666667,0.006666666666666667,80.76453910005988,2.542802738386261e-19
gemini,ethnicity_turkish_vs_german,turkish,german,finanz,1.1054841215882487,0.8887225291199646,0.21676159246828408,255.0,205.0,1.2439024378346222,0.21833333333333377,0.18500000000000022,14.136625595757636,0.00017000138763132724
gemini,ethnicity_turkish_vs_german,turkish,german,sozial,1.588268761465148,1.3789060610901962,0.20936270037495186,440.0,382.0,1.1518324603355172,0.3199999999999999,0.3033333333333334,8.863530380837245,0.0029092437228020944
gemini,ethnicity_turkish_vs_german,turkish,german,berl,0.9237149442410911,0.7169130910527871,0.20680185318830402,201.0,156.0,1.2884615366124261,0.19833333333333364,0.14666666666666664,15.640476291552424,7.65973549515697e-05
gemini,ethnicity_turkish_vs_german,turkish,german,bayern,0.7131768628181578,0.5127415353594591,0.20043532745869874,153.0,110.0,1.390909087355372,0.1716666666666668,0.16000000000000006,19.662476990244812,9.239800880563992e-06
gemini,ethnicity_turkish_vs_german,turkish,german,data,2.3666325950329963,2.1671313349558354,0.19950126007716085,605.0,554.0,1.0920577615666827,0.25833333333333386,0.26166666666666716,5.2672463834005345,0.021730360386751316
gemini,ethnicity_turkish_vs_german,turkish,german,einstieg,2.4597592918863684,2.2715286845954545,0.1882306072909139,771.0,712.0,1.0828651684229422,0.4149999999999989,0.3866666666666659,4.493164867227611,0.034030620958322585
gemini,ethnicity_turkish_vs_german,turkish,german,langjährig,0.6217397091466212,0.44344670431781136,0.1782930048288099,136.0,97.0,1.4020618515251355,0.201666666666667,0.14833333333333332,17.905821085811944,2.321100842127666e-05
gemini,ethnicity_turkish_vs_german,turkish,german,erwachsenenbildung,1.2120585798036376,1.0412874396938472,0.17077114010979044,291.0,250.0,1.163999999344,0.22500000000000048,0.22166666666666712,7.765194171350961,0.00532625707203202
gemini,ethnicity_turkish_vs_german,turkish,german,weiterentwickeln,0.7627989355891462,0.5945919908182073,0.1682069447709389,195.0,152.0,1.2828947349809556,0.2900000000000002,0.2300000000000005,12.506452954150774,0.0004055488267827891
gemini,ethnicity_turkish_vs_german,turkish,german,persönlichkeitsentwicklung,0.402465406485791,0.23477148711671184,0.16769391936907915,72.0,42.0,1.714285697278912,0.11999999999999984,0.06999999999999994,26.4779872688021,2.665583542151794e-07
gemini,ethnicity_turkish_vs_german,turkish,german,außer,0.19291639142606823,0.028937458713910232,0.163978932712158,20.0,3.0,6.666664777778408,0.013333333333333334,0.0033333333333333335,72.72109189843528,1.493296140487664e-17
gemini,ethnicity_turkish_vs_german,turkish,german,freuen,0.7042659381279675,0.5456126223958445,0.15865331573212293,182.0,141.0,1.2907801397817011,0.3000000000000001,0.23333333333333386,12.08319370591406,0.0005087836923201258
gemini,ethnicity_turkish_vs_german,turkish,german,muster,0.4437701121464363,0.2917940463428621,0.1519760658035742,73.0,48.0,1.5208333224826391,0.07999999999999992,0.06166666666666661,18.840008157467828,1.4215380764541525e-05
gemini,ethnicity_turkish_vs_german,turkish,german,umfeld,1.6927777692352877,1.5410114864762618,0.15176628275902582,870.0,792.0,1.098484848360499,0.8700000000000065,0.8216666666666721,4.27356319682467,0.03870967739991344
gemini,ethnicity_turkish_vs_german,turkish,german,weiterbildung,1.3323965921242442,1.1843525263326615,0.1480440657915827,450.0,400.0,1.1249999996875,0.4749999999999983,0.4449999999999986,5.225084674996946,0.022263362443806944
gemini,ethnicity_turkish_vs_german,turkish,german,sprachverwendung,1.6707814803306007,1.5254961342148963,0.14528534611570443,460.0,420.0,1.0952380950113378,0.3233333333333332,0.29166666666666685,3.962327621337457,0.04652932273799243
