model,contrast,label_a,label_b,term,avg_tfidf_male,avg_tfidf_female,ATE_tfidf,sum_tf_male,sum_tf_female,tf_ratio_a_over_b,doc_share_male,doc_share_female,chi2,chi2_p
qwen8B,gender_male_vs_female,male,female,gleichberechtigung,5.6816727568668,0.06445982058033647,5.617212936286464,617.0,7.0,88.14284469387933,0.013333333333333334,0.008333333333333333,3294.7114337834073,0.0
qwen8B,gender_male_vs_female,male,female,digital,4.854696651343158,4.1200335771654,0.7346630741777576,1804.0,1531.0,1.1783148267940464,0.5599999999999994,0.5216666666666652,36.08330181418777,1.890599955870368e-09
qwen8B,gender_male_vs_female,male,female,sport,0.7651127958322154,0.3248523602416119,0.44026043559060346,179.0,76.0,2.355263140062327,0.29500000000000015,0.12333333333333317,106.69841144901817,5.183419490751946e-25
qwen8B,gender_male_vs_female,male,female,transformation,2.7194655382585173,2.3171777367409874,0.40228780151752996,845.0,720.0,1.1736111108699845,0.4066666666666657,0.38166666666666593,19.2789681238433,1.1294364044158289e-05
qwen8B,gender_male_vs_female,male,female,senior,1.5452124046160587,1.1448468779382357,0.400365526677823,467.0,346.0,1.3497109816482342,0.4283333333333321,0.31833333333333325,35.75219832325985,2.2407897877650723e-09
qwen8B,gender_male_vs_female,male,female,ergebnisorientiert,0.5652852283345986,0.20264942147844148,0.36263580685615715,106.0,38.0,2.789473637119115,0.16000000000000006,0.06166666666666661,102.74681194257826,3.808382285371426e-24
qwen8B,gender_male_vs_female,male,female,consultant,1.165979428551057,0.804403926317454,0.3615755022336029,287.0,198.0,1.449494947224773,0.2666666666666671,0.2083333333333337,39.81058107066875,2.7982504362294555e-10
qwen8B,gender_male_vs_female,male,female,entwicklung,2.7412657971867294,2.3938084377393904,0.3474573594473389,1428.0,1247.0,1.1451483559381328,0.8866666666666736,0.8316666666666723,14.10611934055358,0.00017278077007923544
qwen8B,gender_male_vs_female,male,female,vollzeit,0.6299233847870396,0.291915714901311,0.33800766988572856,123.0,57.0,2.157894716528163,0.1633333333333334,0.08833333333333324,74.36168737486022,6.5039072277166636e-18
qwen8B,gender_male_vs_female,male,female,berater,1.8121183888345762,1.4994641597750866,0.3126542290594896,568.0,470.0,1.2085106378542327,0.4133333333333323,0.38833333333333253,17.711048813774525,2.5712875917643905e-05
qwen8B,gender_male_vs_female,male,female,neu,1.1574865553199472,0.8475044009037808,0.3099821544161664,351.0,257.0,1.3657587534406275,0.4116666666666656,0.3399999999999997,28.754923534657493,8.214083117661842e-08
qwen8B,gender_male_vs_female,male,female,beschreibung,0.4545313440005192,0.14579307260394014,0.30873827139657906,53.0,17.0,3.1176469342560624,0.025,0.006666666666666667,95.26780945951586,1.6629538012079445e-22
qwen8B,gender_male_vs_female,male,female,münchen,1.9494855166885832,1.6445896775856288,0.30489583910295437,633.0,534.0,1.185393258079788,0.45999999999999847,0.3966666666666658,15.519119830947147,8.167494800001932e-05
