model,contrast,label_a,label_b,term,avg_tfidf_german,avg_tfidf_turkish,ATE_tfidf,sum_tf_german,sum_tf_turkish,tf_ratio_a_over_b,doc_share_german,doc_share_turkish,chi2,chi2_p
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,kenntnis,1.1714716000240584,0.15115762580955594,1.0203139742145024,155.0,20.0,7.7499996625000165,0.025,0.03333333333333333,472.2596109221413,1.0329120472100266e-104
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,führend,1.1670679384191418,0.1531776669175124,1.0138902715016294,160.0,21.0,7.61904730385489,0.034999999999999996,0.03333333333333333,467.17374941014305,1.3206429528981968e-103
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,vermittelnd,0.8994182185165374,0.07268026008214444,0.8267379584343929,99.0,8.0,12.37499857812518,0.011666666666666667,0.011666666666666667,421.8681544908211,9.568028755198328e-94
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,ausführend,0.8830197241184972,0.07641516843333153,0.8066045556851656,104.0,9.0,11.55555438271618,0.018333333333333333,0.015000000000000001,406.8713245491544,1.7585918343877643e-90
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,interagierend,0.8677907309589729,0.1391739851537975,0.7286167458051753,106.0,17.0,6.235293809688599,0.02,0.02,316.32629452029516,9.143828503451584e-71
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,delegierend,0.8389919947100584,0.12784639919391366,0.7111455955161448,105.0,16.0,6.562499652343771,0.021666666666666667,0.023333333333333334,313.8444198393564,3.1751194183304344e-70
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,coachend,0.9281122414510146,0.22355988297725182,0.7045523584737627,137.0,33.0,4.151515056014696,0.04499999999999998,0.048333333333333305,258.612159816252,3.4437785402399876e-58
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,verkauf,1.0902101659255778,0.4126784243899079,0.6775317415356699,177.0,67.0,2.641791020271776,0.07833333333333325,0.05666666666666662,183.26678254653373,9.379587626388918e-42
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,buchhaltung,1.1673536206263428,0.5868318200986481,0.5805218005276948,185.0,93.0,1.9892473011908893,0.06166666666666661,0.06166666666666661,115.26907693931199,6.871196832937363e-27
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,webdesign,1.0024915987972698,0.4761835094287032,0.5263080893685665,160.0,76.0,2.105263143351801,0.06499999999999995,0.06166666666666661,112.3979987465074,2.923236478391114e-26
