model,contrast,label_a,label_b,term,avg_tfidf_male,avg_tfidf_female,ATE_tfidf,sum_tf_male,sum_tf_female,tf_ratio_a_over_b,doc_share_male,doc_share_female,chi2,chi2_p
qwen8B_topk64,gender_male_vs_female,male,female,kenntnis,1.179029481314536,0.14359974451907814,1.035429736795458,156.0,19.0,8.210525936288109,0.02666666666666667,0.03166666666666667,486.35613922620934,8.844650900604762e-108
qwen8B_topk64,gender_male_vs_female,male,female,webentwicklung,1.2451170699179934,0.5929128904371396,0.6522041794808539,210.0,100.0,2.099999989,0.08166666666666658,0.07333333333333326,138.85637369592393,4.7348417652061886e-32
qwen8B_topk64,gender_male_vs_female,male,female,kenntnisse,1.7577176595835144,1.1148621069846067,0.6428555525989077,607.0,385.0,1.5766233751256535,0.49333333333333146,0.46333333333333176,86.3189108933224,1.531371212983214e-20
qwen8B_topk64,gender_male_vs_female,male,female,buchhaltung,1.1736636401972962,0.580521800527695,0.5931418396696012,186.0,92.0,2.0217391193289225,0.05999999999999995,0.06333333333333328,120.3352509257752,5.342431184261525e-28
qwen8B_topk64,gender_male_vs_female,male,female,verkauf,1.0347757507090234,0.4681128396064627,0.5666629111025607,168.0,76.0,2.2105262998614963,0.07333333333333326,0.06166666666666661,128.19587169205488,1.0169488664160067e-29
qwen8B_topk64,gender_male_vs_female,male,female,quereinstieg,1.1216349942737667,0.5666593460653925,0.5549756482083742,192.0,97.0,1.9793814332022532,0.09999999999999988,0.06333333333333328,109.45886487154763,1.287488085324335e-25
qwen8B_topk64,gender_male_vs_female,male,female,webdesign,1.015022743782236,0.4636523644437373,0.5513703793384985,162.0,74.0,2.189189173119065,0.06999999999999994,0.05666666666666662,123.35744080115568,1.1646019083626566e-28
qwen8B_topk64,gender_male_vs_female,male,female,steuerwesen,0.9397770715819718,0.4337432638070649,0.5060338077749069,169.0,78.0,2.1666666517094018,0.09999999999999988,0.09333333333333323,111.8601048765585,3.834334485159571e-26
qwen8B_topk64,gender_male_vs_female,male,female,kenntniss,0.7108560834633815,0.25290072200139546,0.457955361461986,104.0,37.0,2.8108107618699796,0.04166666666666665,0.048333333333333305,130.56599667214064,3.081159912146793e-30
qwen8B_topk64,gender_male_vs_female,male,female,vertreiben,1.074211359412715,0.6435134087047873,0.4306979507079276,212.0,127.0,1.6692913333126667,0.1266666666666665,0.13333333333333322,64.79526692066204,8.309851088948676e-16
qwen8B_topk64,gender_male_vs_female,male,female,finanzwesen,1.0523651358533537,0.642212570084867,0.4101525657684867,195.0,119.0,1.6386554568180214,0.10666666666666653,0.10666666666666653,59.56355732179305,1.1840762328709102e-14
qwen8B_topk64,gender_male_vs_female,male,female,consultant,1.173261394217283,0.7834999819010323,0.3897614123162506,295.0,197.0,1.4974619264088227,0.27500000000000036,0.22500000000000048,46.58124195974705,8.789763699445452e-12
