word,category
abenteuer,agentic
abenteuerlustig,agentic
abenteuerlich,agentic
aggressivität,agentic
aggressiv,agentic
ambition,agentic
ambitioniert,agentic
analytisch,agentic
aufgabenorientierung,agentic
aufgabenorientiert,agentic
autarkie,agentic
autark,agentic
autorität,agentic
autoritär,agentic
autonomie,agentic
autonom,agentic
beharrlichkeit,agentic
beharren,agentic
beharrlich,agentic
sieg,agentic
(be)siegen,agentic
bestimmtheit,agentic
bestimmen,agentic
bestimmt,agentic
direktheit,agentic
direkt,agentic
dominanz,agentic
dominieren,agentic
dominant,agentic
durchsetzungsvermögen/-fähigkeit/-stärke,agentic
durchsetzen,agentic
durchsetzungsstark/-fähig,agentic
ehrgeiz,agentic
ehrgeizig,agentic
eigenständigkeit,agentic
eigenständig,agentic
einzelleistung,agentic
einzelkämpfer,agentic
einzel(n),agentic
einfluss,agentic
einflussreich,agentic
energisch,agentic
entscheidung,agentic
entscheiden,agentic
entschlossenheit,agentic
entschlossen,agentic
erfolgsorientierung,agentic
erfolgsorientiert,agentic
führung (übernehmen),agentic
führungsfähigkeit/-kompetenz/-stärke,agentic
(an)führen,agentic
gewinn,agentic
gewinnen,agentic
hartnäckigkeit,agentic
hartnäckig,agentic
(jemanden) herausfordern,agentic
hierarchie,agentic
hierarchisch,agentic
kompetitiv,agentic
konkurrenz,agentic
konkurrieren,agentic
konkurrenzorientiert,agentic
kräftigkeit,agentic
kräftig,agentic
kraft,agentic
kraftvoll,agentic
leisten,agentic
leistungsfähigkeit,agentic
leistungsfähig,agentic
leistungsorientierung,agentic
leistungsorientiert,agentic
leiten,agentic
lenken,agentic
mutig,agentic
offensivität,agentic
offensiv,agentic
persistenz,agentic
persistent,agentic
rationalität,agentic
rational,agentic
risiko,agentic
risikoaffinität,agentic
risikofreudig,agentic
risikoaffin,agentic
selbstbewusstsein,agentic
selbstbewusst,agentic
selbstsicherheit,agentic
selbstsicher,agentic
selbst(st)ändigkeit,agentic
selbst(st)ändig,agentic
selbstvertrauen,agentic
stark,agentic
stärke,agentic
stolz,agentic
überlegenheit,agentic
überlegen (sein),agentic
unabhängigkeit,agentic
unabhängig,agentic
wettbewerb,agentic
wettbewerbsorientierung/-fähigkeit,agentic
wettbewerbsfähig/-orientiert,agentic
wetteifer,agentic
wetteifern,agentic
wettkampf,agentic
wettkampfgeist,agentic
wettstreit,agentic
willenskraft-/stärke,agentic
willensstark,agentic
zielorientierung,agentic
zielorientiert,agentic
zielsicherheit,agentic
zielsicher,agentic
zielstrebigkeit,agentic
zielstrebig,agentic
angenehm,communal
aufrichtigkeit,communal
aufrichtig,communal
beraten,communal
beratend,communal
bescheidenheit,communal
bescheiden,communal
betreuung,communal
betreuen,communal
beziehung(en),communal
beziehungsorientierung,communal
beziehungsorientiert,communal
commitment,communal
dank(barkeit),communal
danken,communal
dankbar,communal
ehrlichkeit,communal
ehrlich,communal
einfühlungsvermögen,communal
einfühlsamkeit,communal
einfühlen,communal
emotion(en),communal
emotionalität,communal
emotional,communal
empathie,communal
empathisch,communal
engagement,communal
engagieren,communal
engagiert,communal
familie,communal
familienorientiert,communal
familienfreundlich,communal
fleiß,communal
fleißig,communal
förderung,communal
fördern,communal
freundlichkeit,communal
freundlich,communal
freundschaft,communal
freundschaftlich,communal
fürsorge,communal
fürsorglich,communal
gefühl,communal
gefühlvoll,communal
gefühlsbetont,communal
gefühlsmäßig,communal
gemeinsam,communal
gemeinschaft,communal
gemeinschaftlich,communal
gruppe,communal
gruppendynamik,communal
harmonie,communal
harmonisch,communal
mithelfen,communal
helfen,communal
herzlichkeit,communal
herzlich,communal
mithilfe,communal
hilfe,communal
hilfsbereitschaft,communal
hilfsbereit,communal
höflichkeit,communal
höflich,communal
interpersonell,communal
interpersonal,communal
kollaboration,communal
kollaborieren,communal
kollegialität,communal
kollegial,communal
kooperation,communal
kooperationsfähigkeit/-wille/-bereitschaft,communal
kooperieren,communal
kooperativ,communal
(sich) kümmern,communal
liebenswert,communal
liebenswürdig,communal
loyalität,communal
loyalitätsgefühl,communal
loyal,communal
miteinander,communal
mitfühlen,communal
mitfühlend,communal
mitgefühl,communal
nettigkeit,communal
nett,communal
partnerschaftlich,communal
pflege,communal
pflegen,communal
rücksicht,communal
rücksichtnahme,communal
rücksichtsvoll,communal
sensibilität,communal
sensibel,communal
sozial,communal
team,communal
teamorientierung,communal
teamarbeit,communal
treue,communal
treu,communal
umgänglichkeit,communal
umgänglich,communal
umsichtigkeit,communal
umsichtig,communal
uneigennützigkeit,communal
uneigennützig,communal
unterstützung,communal
unterstützen,communal
unterstützend,communal
verantwortung,communal
verantwortungsbewusstsein,communal
verantwortungsbewusst,communal
verantwortungsvoll,communal
verbundenheit,communal
verbunden,communal
vereinen,communal
vereint,communal
verlässlichkeit,communal
verlässlich,communal
verständnis,communal
verständnisvoll,communal
vertrauen,communal
vertrauensvoll,communal
vertrauenswürdig,communal
wertschätzung,communal
wertschätzen,communal
wertschätzend,communal
zugehörigkeit,communal
zugehörig,communal
zusammenarbeit,communal
zusammenhalt,communal
zusammenarbeiten,communal
zusammenhalten,communal
zuverlässigkeit,communal
zuverlässig,communal
zwischenmenschlich,communal
